GI,LogLaplace,LogTIadd,LogEvidence,sd,CI95
5.0,-1273.657635,558.137897048602,-715.519737951398,0.13040350063278816,[-715.60495373 -715.15025752]
6.0,-1274.357845,571.5367621389621,-702.8210828610379,0.19851043279335193,[-703.31815467 -702.65773727]
6.5,-1268.529586,529.9118905847771,-738.617695415223,0.1454273454199595,[-738.62100593 -738.27320066]
7.0,-1254.590487,522.2950844155175,-732.2954025844824,0.17303690606112535,[-732.3970278  -731.78844479]
8.0,-1245.260524,560.5038466688608,-684.7566773311393,0.2918160504174431,[-685.54307372 -684.66714027]
9.0,-1309.520197833001,506.91502593231576,-802.6051719006853,0.1489722898381529,[-802.79100715 -802.27436001]
10.0,-1312.5243882121954,507.85720334565906,-804.6671848665363,0.25867589417195364,[-805.13168003 -804.34674381]
20.0,-1180.769489,384.8958583819822,-795.8736306180178,0.47480850529233093,[-796.31026486 -795.53095553]
40.0,-81539.76826,360.54435167722113,-81179.22390832278,0.22881005502626522,[-81179.29855688 -81178.53537166]
AR2,-1206.934365,495.7846687172025,-711.1496962827975,0.22263826780240445,[-711.15758127 -710.60762043]
AR3,-1292.934269,589.1459824636397,-703.7882865363604,0.4142030202568776,[-704.72555847 -703.7175292 ]
AR4,-2166.2818516159696,1345.6793580187689,-820.6024935972007,0.3894779109973752,[-820.60397183 -819.17575222]
W_1,-1260.150751,458.3847941070346,-801.7659568929653,0.15676832893858392,[-802.12194203 -801.62549192]
W_2,-1069.1782584499647,278.12201009865475,-791.0562483513099,0.1315692448713396,[-791.19962322 -790.71597595]
W_3,-1002.790294,195.57711509633657,-807.2131789036634,0.10824926641094258,[-807.50120263 -807.18127026]
W_4,-939.6804907,128.98989820210772,-810.6905924978922,0.12212758342179962,[-811.13560918 -810.67090642]
W_7,-875.3883192,61.80852601053573,-813.5797931894642,0.0753691454217499,[-813.65685168 -813.5406176 ]
