Laplace,Referenced TI,Power posterior,PP 100 temperatures
-310.1035587,-310.1286932,-320.4907711,-310.02677811509943
-310.09540760000004,-310.13185089999996,-321.4599926,-310.02677811509943
-310.07499900000005,-310.1281462,-321.39389289999997,-310.02677811509943
-310.0706883,-310.13138660000004,-321.1913807,-310.02677811509943
-310.1085931,-310.1246292,-321.2005216,-310.02677811509943
-310.08950120000003,-310.128469,-320.9311741,-310.02677811509943
-310.0536765,-310.1280485,-320.6560292,-310.02677811509943
-310.1119812,-310.1306578,-320.67003589999996,-310.02677811509943
-310.11494819999996,-310.12771630000003,-320.7228372,-310.02677811509943
-310.0617966,-310.13207180000006,-320.1635442,-310.02677811509943
-310.0245665,-310.1332164,-320.96920719999997,-310.02677811509943
-310.0593902,-310.12889049999995,-320.8957855,-310.02677811509943
-310.0683747,-310.1279515,-320.26727999999997,-310.02677811509943
-310.0645091,-310.1262435,-320.6762007,-310.02677811509943
-310.0887869,-310.1276573,-320.48566580000005,-310.02677811509943
